claim_id,claim,impact,kind,epistemics,supported,reason,evidence_origins,evidence_urls,conflicts
aakash-gupta-cups-task-no-tests,aakashg/cups-task contains no test suite,NORMAL,ABSENCE,OBSERVATION,no,absence claim whose search coverage is recorded as incomplete,api_listing;commit_history;file_listing;readme,https://github.com/aakashg/cups-task;https://github.com/aakashg/cups-task/commits;https://github.com/aakashg/cups-task/tree/main;https://github.com/aakashg/cups-task/#readme,
aakash-gupta-cursor-layer-pm-toolkit-classification,aakashg/cursor-layer-pm-toolkit: primary classification INSUFFICIENT_EVIDENCE (no classification criteria met with sufficient evidence),NORMAL,PRESENCE,INFERENCE,yes,meets independence rules,api_listing;commit_history;file_listing;readme,https://github.com/aakashg/cursor-layer-pm-toolkit;https://github.com/aakashg/cursor-layer-pm-toolkit/commits;https://github.com/aakashg/cursor-layer-pm-toolkit/tree/main;https://github.com/aakashg/cursor-layer-pm-toolkit/#readme,
aakash-gupta-cursor-layer-pm-toolkit-no-tests,aakashg/cursor-layer-pm-toolkit contains no test suite,NORMAL,ABSENCE,OBSERVATION,no,absence claim whose search coverage is recorded as incomplete,api_listing;commit_history;file_listing;readme,https://github.com/aakashg/cursor-layer-pm-toolkit;https://github.com/aakashg/cursor-layer-pm-toolkit/commits;https://github.com/aakashg/cursor-layer-pm-toolkit/tree/main;https://github.com/aakashg/cursor-layer-pm-toolkit/#readme,
aakash-gupta-hermes-pm-toolkit-classification,aakashg/hermes-pm-toolkit: primary classification INSUFFICIENT_EVIDENCE (no classification criteria met with sufficient evidence),NORMAL,PRESENCE,INFERENCE,yes,meets independence rules,api_listing;commit_history;file_listing;readme,https://github.com/aakashg/hermes-pm-toolkit;https://github.com/aakashg/hermes-pm-toolkit/commits;https://github.com/aakashg/hermes-pm-toolkit/tree/main;https://github.com/aakashg/hermes-pm-toolkit/#readme,
aakash-gupta-hermes-pm-toolkit-no-tests,aakashg/hermes-pm-toolkit contains no test suite,NORMAL,ABSENCE,OBSERVATION,no,absence claim whose search coverage is recorded as incomplete,api_listing;commit_history;file_listing;readme,https://github.com/aakashg/hermes-pm-toolkit;https://github.com/aakashg/hermes-pm-toolkit/commits;https://github.com/aakashg/hermes-pm-toolkit/tree/main;https://github.com/aakashg/hermes-pm-toolkit/#readme,
aakash-gupta-pm-claude-code-setup-classification,aakashg/pm-claude-code-setup: primary classification EDUCATIONAL_OR_CURATED_VALUE (highest-priority label meeting its criteria: EDUCATIONAL_OR_CURATED_VALUE),NORMAL,PRESENCE,INFERENCE,yes,meets independence rules,api_listing;commit_history;file_listing;readme,https://github.com/aakashg/pm-claude-code-setup;https://github.com/aakashg/pm-claude-code-setup/commits;https://github.com/aakashg/pm-claude-code-setup/tree/main;https://github.com/aakashg/pm-claude-code-setup#readme,"Commit author dates run to 2026-08-03, after both the repo's pushed_at (2026-03-04T23:12:39Z) and the audit date (2026-07-16) — history has been re-dated to simulate an ongoing release cadence.;Batch-synchronized commits across sibling repos: 'Add MIT LICENSE and badges to README' at 22:10:25 and 'Reframe free vs paid messaging' at 00:25:52 land within seconds of identical messages in pm-claude-skills and pm-prompt-library."
aakash-gupta-pm-claude-code-setup-no-tests,aakashg/pm-claude-code-setup contains no test suite,NORMAL,ABSENCE,OBSERVATION,no,absence claim whose search coverage is recorded as incomplete,api_listing;commit_history;file_listing;readme,https://github.com/aakashg/pm-claude-code-setup;https://github.com/aakashg/pm-claude-code-setup/commits;https://github.com/aakashg/pm-claude-code-setup/tree/main;https://github.com/aakashg/pm-claude-code-setup#readme,
aakash-gupta-pm-claude-skills-classification,aakashg/pm-claude-skills: primary classification EDUCATIONAL_OR_CURATED_VALUE (highest-priority label meeting its criteria: EDUCATIONAL_OR_CURATED_VALUE),NORMAL,PRESENCE,INFERENCE,yes,meets independence rules,api_listing;commit_history;file_listing;readme,https://github.com/aakashg/pm-claude-skills;https://github.com/aakashg/pm-claude-skills/commits;https://github.com/aakashg/pm-claude-skills/tree/main;https://github.com/aakashg/pm-claude-skills#readme,"Parent-chain order vs author dates is incoherent: 16 skill-add commits dated 2026-03-10..2026-09-12 (some in the future) are ancestors of the 'Remove 15 extra skills' commit dated 2026-03-03, and pushed_at is 2026-03-04 — history was re-dated.;Same-second batch commits across siblings: 'Polish all skills and README for professional tone' 2026-03-04T23:04:13Z here vs 23:04:15/23:04:17 in pm-claude-code-setup and pm-prompt-library."
aakash-gupta-pm-claude-skills-no-tests,aakashg/pm-claude-skills contains no test suite,NORMAL,ABSENCE,OBSERVATION,no,absence claim whose search coverage is recorded as incomplete,api_listing;commit_history;file_listing;readme,https://github.com/aakashg/pm-claude-skills;https://github.com/aakashg/pm-claude-skills/commits;https://github.com/aakashg/pm-claude-skills/tree/main;https://github.com/aakashg/pm-claude-skills#readme,
aakash-gupta-pm-github-starter-kit-classification,aakashg/pm-github-starter-kit: primary classification INSUFFICIENT_EVIDENCE (no classification criteria met with sufficient evidence),NORMAL,PRESENCE,INFERENCE,yes,meets independence rules,api_listing;commit_history;file_listing;readme,https://github.com/aakashg/pm-github-starter-kit;https://github.com/aakashg/pm-github-starter-kit/commits;https://github.com/aakashg/pm-github-starter-kit/tree/main;https://github.com/aakashg/pm-github-starter-kit#readme,README's License section says 'For personal use by Product Growth subscribers only. Do not redistribute or share publicly' while the repo is public with 84 forks and the API metadata records no license.
aakash-gupta-pm-github-starter-kit-no-tests,aakashg/pm-github-starter-kit contains no test suite,NORMAL,ABSENCE,OBSERVATION,no,absence claim whose search coverage is recorded as incomplete,api_listing;commit_history;file_listing;readme,https://github.com/aakashg/pm-github-starter-kit;https://github.com/aakashg/pm-github-starter-kit/commits;https://github.com/aakashg/pm-github-starter-kit/tree/main;https://github.com/aakashg/pm-github-starter-kit#readme,
aakash-gupta-pm-github-workflow-repo-classification,aakashg/pm-github-workflow-repo: primary classification EDUCATIONAL_OR_CURATED_VALUE (highest-priority label meeting its criteria: EDUCATIONAL_OR_CURATED_VALUE),NORMAL,PRESENCE,INFERENCE,yes,meets independence rules,api_listing;ci_config;commit_history;file_listing;readme,https://github.com/aakashg/pm-github-workflow-repo;https://github.com/aakashg/pm-github-workflow-repo/commits;https://github.com/aakashg/pm-github-workflow-repo/tree/main;https://github.com/aakashg/pm-github-workflow-repo/.github/workflows;https://github.com/aakashg/pm-github-workflow-repo#readme,"Commit author dates begin 2026-01-06, five months before the repo's created_at (2026-06-03); the repo discloses this via the commit 'align content dates with commit dates after history re-date' — a deliberate, disclosed simulation for teaching, not hidden fabrication."
aakash-gupta-pm-github-workflow-repo-no-tests,aakashg/pm-github-workflow-repo contains no test suite,NORMAL,ABSENCE,OBSERVATION,no,absence claim whose search coverage is recorded as incomplete,api_listing;ci_config;commit_history;file_listing;readme,https://github.com/aakashg/pm-github-workflow-repo;https://github.com/aakashg/pm-github-workflow-repo/commits;https://github.com/aakashg/pm-github-workflow-repo/tree/main;https://github.com/aakashg/pm-github-workflow-repo/.github/workflows;https://github.com/aakashg/pm-github-workflow-repo#readme,
aakash-gupta-pm-planning-system-classification,aakashg/pm-planning-system: primary classification EDUCATIONAL_OR_CURATED_VALUE (highest-priority label meeting its criteria: EDUCATIONAL_OR_CURATED_VALUE),NORMAL,PRESENCE,INFERENCE,yes,meets independence rules,api_listing;commit_history;file_listing;readme,https://github.com/aakashg/pm-planning-system;https://github.com/aakashg/pm-planning-system/commits;https://github.com/aakashg/pm-planning-system/tree/main;https://github.com/aakashg/pm-planning-system#readme,"README 'What's Inside' tree omits src/, package.json, and vitest.config.ts that appear in the root listing (undocumented demo-module scaffolding).;Portfolio survey records has_tests=false, but the root listing contains vitest.config.ts and a commit claims 'pricing page demo module with vitest coverage'.;README says 'License: MIT' but the API metadata records no license file detected."
aakash-gupta-pm-planning-system-no-tests,aakashg/pm-planning-system contains no test suite,NORMAL,ABSENCE,OBSERVATION,no,absence claim whose search coverage is recorded as incomplete,api_listing;commit_history;file_listing;readme,https://github.com/aakashg/pm-planning-system;https://github.com/aakashg/pm-planning-system/commits;https://github.com/aakashg/pm-planning-system/tree/main;https://github.com/aakashg/pm-planning-system#readme,
aakash-gupta-pm-prompt-library-classification,aakashg/pm-prompt-library: primary classification INSUFFICIENT_EVIDENCE (no classification criteria met with sufficient evidence),NORMAL,PRESENCE,INFERENCE,yes,meets independence rules,api_listing;commit_history;file_listing;readme,https://github.com/aakashg/pm-prompt-library;https://github.com/aakashg/pm-prompt-library/commits;https://github.com/aakashg/pm-prompt-library/tree/main;https://github.com/aakashg/pm-prompt-library#readme,"Commit author dates run to 2026-09-07, after both pushed_at (2026-04-10T18:46:46Z) and the audit date (2026-07-16) — re-dated history simulating weekly releases.;'Each prompt tested across 50+ real PM scenarios' has no supporting artifact anywhere in the listing or history.;Batch-synchronized housekeeping with siblings: 'Add MIT LICENSE and badges to README' 2026-03-03T22:10:27Z and 'Polish all prompts and README for professional tone' 2026-03-04T23:04:17Z land within seconds of identical commits in pm-claude-code-setup and pm-claude-skills."
aakash-gupta-pm-prompt-library-no-tests,aakashg/pm-prompt-library contains no test suite,NORMAL,ABSENCE,OBSERVATION,no,absence claim whose search coverage is recorded as incomplete,api_listing;commit_history;file_listing;readme,https://github.com/aakashg/pm-prompt-library;https://github.com/aakashg/pm-prompt-library/commits;https://github.com/aakashg/pm-prompt-library/tree/main;https://github.com/aakashg/pm-prompt-library#readme,
aakash-gupta-product-growth-team-os-classification,aakashg/product-growth-team-os: primary classification EDUCATIONAL_OR_CURATED_VALUE (highest-priority label meeting its criteria: EDUCATIONAL_OR_CURATED_VALUE),NORMAL,PRESENCE,INFERENCE,yes,meets independence rules,api_listing;commit_history;file_listing;readme,https://github.com/aakashg/product-growth-team-os;https://github.com/aakashg/product-growth-team-os/commits;https://github.com/aakashg/product-growth-team-os/tree/main;https://github.com/aakashg/product-growth-team-os#readme,"Portfolio survey records has_ci=true, but no workflows-listing.json was saved and the README's .github tree shows only pull_request_template.md — CI presence is unconfirmed in the snapshot.;The two registry files (feature-index.yaml, data-catalog.yaml) are claimed as the system's core but appear only in the README tree; the saved root listing cannot see into product-development/ to confirm them."
aakash-gupta-product-growth-team-os-no-tests,aakashg/product-growth-team-os contains no test suite,NORMAL,ABSENCE,OBSERVATION,no,absence claim whose search coverage is recorded as incomplete,api_listing;commit_history;file_listing;readme,https://github.com/aakashg/product-growth-team-os;https://github.com/aakashg/product-growth-team-os/commits;https://github.com/aakashg/product-growth-team-os/tree/main;https://github.com/aakashg/product-growth-team-os#readme,
aakash-gupta-person-verdict,Aakash Gupta: portfolio verdict DISTRIBUTION_OR_CURATION_DOMINANT,HIGH,PRESENCE,INFERENCE,yes,meets independence rules,api_listing;ci_config;commit_history;file_listing;readme,https://github.com/aakashg/aakashg;https://github.com/aakashg/aakashg/commits;https://github.com/aakashg/aakashg/tree/main;https://github.com/aakashg/aakashg#readme;https://github.com/aakashg/pm-github-workflow-repo/.github/workflows,
abhillash-jadhav-identity,GitHub login 'Abhillashjadhav' is the public profile of Abhillash Jadhav (2 attributes matched),NORMAL,PRESENCE,OBSERVATION,no,"1 independent origin(s) found, 2 required for NORMAL impact (self-described origins do not count)",github_profile,https://github.com/Abhillashjadhav,
abhillash-jadhav-10Xbuilds-classification,Abhillashjadhav/10Xbuilds: primary classification INSUFFICIENT_EVIDENCE (confidence 21 below the 40 floor for any classification),NORMAL,PRESENCE,INFERENCE,no,only self-described sources (e.g. README) back this claim; a README statement is not independent corroboration,,,
abhillash-jadhav-10Xbuilds-no-tests,Abhillashjadhav/10Xbuilds contains no test suite,NORMAL,ABSENCE,OBSERVATION,no,only self-described sources (e.g. README) back this claim; a README statement is not independent corroboration,,,
abhillash-jadhav-AI-PM-cold-mails-classification,Abhillashjadhav/AI-PM-cold-mails: primary classification INSUFFICIENT_EVIDENCE (confidence 21 below the 40 floor for any classification),NORMAL,PRESENCE,INFERENCE,no,only self-described sources (e.g. README) back this claim; a README statement is not independent corroboration,,,
abhillash-jadhav-AI-PM-cold-mails-no-tests,Abhillashjadhav/AI-PM-cold-mails contains no test suite,NORMAL,ABSENCE,OBSERVATION,no,only self-described sources (e.g. README) back this claim; a README statement is not independent corroboration,,,
abhillash-jadhav-AI-PM-essential-skills-classification,Abhillashjadhav/AI-PM-essential-skills: primary classification INSUFFICIENT_EVIDENCE (no classification criteria met with sufficient evidence),NORMAL,PRESENCE,INFERENCE,yes,meets independence rules,api_listing;ci_config;commit_history;file_listing;readme,https://github.com/Abhillashjadhav/AI-PM-essential-skills;https://github.com/Abhillashjadhav/AI-PM-essential-skills/commits;https://github.com/Abhillashjadhav/AI-PM-essential-skills/tree/main;https://github.com/Abhillashjadhav/AI-PM-essential-skills/tree/main/.github/workflows;https://github.com/Abhillashjadhav/AI-PM-essential-skills#readme,"README is titled 'pm-claude-skills' and says '4 Claude Code skills', but the repo is named AI-PM-essential-skills and the root listing shows ~9 skill/plugin directories — the README understates the current repo (staleness, not overclaim).;README install command clones github.com/Abhillashjadhav/pm-claude-skills, which matches no repo in the metadata snapshot; consistent with a repo rename (old-name redirect), but unverifiable from the snapshot."
abhillash-jadhav-Asset-allocation-classification,Abhillashjadhav/Asset-allocation: primary classification INSUFFICIENT_EVIDENCE (confidence 21 below the 40 floor for any classification),NORMAL,PRESENCE,INFERENCE,no,only self-described sources (e.g. README) back this claim; a README statement is not independent corroboration,,,
abhillash-jadhav-Asset-allocation-no-tests,Abhillashjadhav/Asset-allocation contains no test suite,NORMAL,ABSENCE,OBSERVATION,no,only self-described sources (e.g. README) back this claim; a README statement is not independent corroboration,,,
abhillash-jadhav-Career-counselling-agent-classification,Abhillashjadhav/Career-counselling-agent: primary classification INSUFFICIENT_EVIDENCE (confidence 21 below the 40 floor for any classification),NORMAL,PRESENCE,INFERENCE,no,only self-described sources (e.g. README) back this claim; a README statement is not independent corroboration,,,
abhillash-jadhav-Career-counselling-agent-no-tests,Abhillashjadhav/Career-counselling-agent contains no test suite,NORMAL,ABSENCE,OBSERVATION,no,only self-described sources (e.g. README) back this claim; a README statement is not independent corroboration,,,
abhillash-jadhav-claude-code-demo-classification,Abhillashjadhav/claude-code-demo: primary classification LIKELY_SHALLOW_OR_TEMPLATED (ai_slop_risk 77 >= 70 with confidence 75 >= 70; counter-evidence reviewed and recorded),HIGH,PRESENCE,INFERENCE,yes,meets independence rules,api_listing;commit_history;file_listing,https://github.com/Abhillashjadhav/claude-code-demo;https://github.com/Abhillashjadhav/claude-code-demo/commits;https://github.com/Abhillashjadhav/claude-code-demo/tree/main,
abhillash-jadhav-claude-code-demo-no-tests,Abhillashjadhav/claude-code-demo contains no test suite,NORMAL,ABSENCE,OBSERVATION,no,absence claim whose search coverage is recorded as incomplete,api_listing;commit_history;file_listing,https://github.com/Abhillashjadhav/claude-code-demo;https://github.com/Abhillashjadhav/claude-code-demo/commits;https://github.com/Abhillashjadhav/claude-code-demo/tree/main,
abhillash-jadhav-Config-repo-classification,Abhillashjadhav/Config-repo: primary classification INSUFFICIENT_EVIDENCE (confidence 21 below the 40 floor for any classification),NORMAL,PRESENCE,INFERENCE,no,only self-described sources (e.g. README) back this claim; a README statement is not independent corroboration,,,
abhillash-jadhav-Config-repo-no-tests,Abhillashjadhav/Config-repo contains no test suite,NORMAL,ABSENCE,OBSERVATION,no,only self-described sources (e.g. README) back this claim; a README statement is not independent corroboration,,,
abhillash-jadhav-Context-engineering--classification,Abhillashjadhav/Context-engineering-: primary classification INSUFFICIENT_EVIDENCE (no classification criteria met with sufficient evidence),NORMAL,PRESENCE,INFERENCE,yes,meets independence rules,api_listing;commit_history;file_listing;readme,https://github.com/Abhillashjadhav/Context-engineering-;https://github.com/Abhillashjadhav/Context-engineering-/commits;https://github.com/Abhillashjadhav/Context-engineering-/tree/main;https://github.com/Abhillashjadhav/Context-engineering-#readme,
abhillash-jadhav-Context-engineering--no-tests,Abhillashjadhav/Context-engineering- contains no test suite,NORMAL,ABSENCE,OBSERVATION,no,absence claim whose search coverage is recorded as incomplete,api_listing;commit_history;file_listing;readme,https://github.com/Abhillashjadhav/Context-engineering-;https://github.com/Abhillashjadhav/Context-engineering-/commits;https://github.com/Abhillashjadhav/Context-engineering-/tree/main;https://github.com/Abhillashjadhav/Context-engineering-#readme,
abhillash-jadhav-equity-resaerch-agentic-workflow-classification,Abhillashjadhav/equity-resaerch-agentic-workflow: primary classification INSUFFICIENT_EVIDENCE (no classification criteria met with sufficient evidence),NORMAL,PRESENCE,INFERENCE,yes,meets independence rules,api_listing;ci_config;commit_history;file_listing;readme,https://github.com/Abhillashjadhav/equity-resaerch-agentic-workflow;https://github.com/Abhillashjadhav/equity-resaerch-agentic-workflow/commits;https://github.com/Abhillashjadhav/equity-resaerch-agentic-workflow/tree/main;https://github.com/Abhillashjadhav/equity-resaerch-agentic-workflow/tree/main/.github/workflows;https://github.com/Abhillashjadhav/equity-resaerch-agentic-workflow#readme,"Repo description 'Evaluates all the equity stocks across the globe and recommend high beta' overstates the README's actual scope (NASDAQ + NSE tech, market cap >= $200M, high-conviction picks).;Bot commits titled 'Auto: weekly react analysis 2026-05-14' were committed repeatedly on 2026-05-21/28, 06-04/11/18 — five weekly runs re-emitted an analysis dated 05-14, suggesting a stale-date or stalled-output bug during that period."
abhillash-jadhav-Evals-pass-1-classification,Abhillashjadhav/Evals-pass-1: primary classification INSUFFICIENT_EVIDENCE (confidence 21 below the 40 floor for any classification),NORMAL,PRESENCE,INFERENCE,no,only self-described sources (e.g. README) back this claim; a README statement is not independent corroboration,,,
abhillash-jadhav-Indian-stocks-deepdive-and-trading-agents-classification,Abhillashjadhav/Indian-stocks-deepdive-and-trading-agents: primary classification INSUFFICIENT_EVIDENCE (no classification criteria met with sufficient evidence),NORMAL,PRESENCE,INFERENCE,yes,meets independence rules,api_listing;ci_config;commit_history;file_listing,https://github.com/Abhillashjadhav/Indian-stocks-deepdive-and-trading-agents;https://github.com/Abhillashjadhav/Indian-stocks-deepdive-and-trading-agents/commits;https://github.com/Abhillashjadhav/Indian-stocks-deepdive-and-trading-agents/tree/main;https://github.com/Abhillashjadhav/Indian-stocks-deepdive-and-trading-agents/tree/main/.github/workflows,
abhillash-jadhav-Linkedin-research-posts-classification,Abhillashjadhav/Linkedin-research-posts: primary classification INSUFFICIENT_EVIDENCE (confidence 21 below the 40 floor for any classification),NORMAL,PRESENCE,INFERENCE,no,only self-described sources (e.g. README) back this claim; a README statement is not independent corroboration,,,
abhillash-jadhav-loop-engineering-classification,Abhillashjadhav/loop-engineering: primary classification EDUCATIONAL_OR_CURATED_VALUE (highest-priority label meeting its criteria: EDUCATIONAL_OR_CURATED_VALUE),NORMAL,PRESENCE,INFERENCE,yes,meets independence rules,api_listing;ci_config;commit_history;file_listing;readme,https://github.com/Abhillashjadhav/loop-engineering;https://github.com/Abhillashjadhav/loop-engineering/commits;https://github.com/Abhillashjadhav/loop-engineering/tree/main;https://github.com/Abhillashjadhav/loop-engineering/tree/main/.github/workflows;https://github.com/Abhillashjadhav/loop-engineering#readme,The '100+ deterministic tests' count cannot be confirmed from the root listing alone (tests/ exists; contents not enumerated in the snapshot).
abhillash-jadhav-Mirror-score-classification,Abhillashjadhav/Mirror-score: primary classification INSUFFICIENT_EVIDENCE (confidence 21 below the 40 floor for any classification),NORMAL,PRESENCE,INFERENCE,no,only self-described sources (e.g. README) back this claim; a README statement is not independent corroboration,,,
abhillash-jadhav-Misshka-Learning-Progress-App-classification,Abhillashjadhav/Misshka-Learning-Progress-App: primary classification INSUFFICIENT_EVIDENCE (confidence 21 below the 40 floor for any classification),NORMAL,PRESENCE,INFERENCE,no,only self-described sources (e.g. README) back this claim; a README statement is not independent corroboration,,,
abhillash-jadhav-Misshka-Learning-Progress-App-no-tests,Abhillashjadhav/Misshka-Learning-Progress-App contains no test suite,NORMAL,ABSENCE,OBSERVATION,no,only self-described sources (e.g. README) back this claim; a README statement is not independent corroboration,,,
abhillash-jadhav-MultiAgent-template-classification,Abhillashjadhav/MultiAgent-template: primary classification INSUFFICIENT_EVIDENCE (no classification criteria met with sufficient evidence),NORMAL,PRESENCE,INFERENCE,yes,meets independence rules,api_listing;ci_config;commit_history;file_listing,https://github.com/Abhillashjadhav/MultiAgent-template;https://github.com/Abhillashjadhav/MultiAgent-template/commits;https://github.com/Abhillashjadhav/MultiAgent-template/tree/main;https://github.com/Abhillashjadhav/MultiAgent-template/tree/main/.github/workflows,"Repo name and README title say 'Multi-Agent Template'; the visible root files, workflows and 76/100 bot commits are a NASDAQ market-data fetch pipeline — the repo appears repurposed from its bootstrap."
abhillash-jadhav-Nasdaq-concentrated-allocation-classification,Abhillashjadhav/Nasdaq-concentrated-allocation: primary classification EDUCATIONAL_OR_CURATED_VALUE (highest-priority label meeting its criteria: EDUCATIONAL_OR_CURATED_VALUE),NORMAL,PRESENCE,INFERENCE,yes,meets independence rules,api_listing;ci_config;commit_history;file_listing;readme,https://github.com/Abhillashjadhav/Nasdaq-concentrated-allocation;https://github.com/Abhillashjadhav/Nasdaq-concentrated-allocation/commits;https://github.com/Abhillashjadhav/Nasdaq-concentrated-allocation/tree/main;https://github.com/Abhillashjadhav/Nasdaq-concentrated-allocation/tree/main/.github/workflows;https://github.com/Abhillashjadhav/Nasdaq-concentrated-allocation#readme,"Initial-day commit 'Scaffold stockscope backtest harness; purge job-agent + leaked secret' records that a secret was committed and purged at scaffold time; subsequent 'Harden CI secret scan' and the README's env-var key handling (STOCKSCOPE_SIMFIN_API_KEY) show remediation — secrets_policy_ok reflects the end state, not a clean history."
abhillash-jadhav-New-UI-addition-classification,Abhillashjadhav/New-UI-addition: primary classification INSUFFICIENT_EVIDENCE (confidence 21 below the 40 floor for any classification),NORMAL,PRESENCE,INFERENCE,no,only self-described sources (e.g. README) back this claim; a README statement is not independent corroboration,,,
abhillash-jadhav-New-UI-addition-no-tests,Abhillashjadhav/New-UI-addition contains no test suite,NORMAL,ABSENCE,OBSERVATION,no,only self-described sources (e.g. README) back this claim; a README statement is not independent corroboration,,,
abhillash-jadhav-Placeholder-repo-classification,Abhillashjadhav/Placeholder-repo: primary classification INSUFFICIENT_EVIDENCE (confidence 21 below the 40 floor for any classification),NORMAL,PRESENCE,INFERENCE,no,only self-described sources (e.g. README) back this claim; a README statement is not independent corroboration,,,
abhillash-jadhav-Placeholder-repo-no-tests,Abhillashjadhav/Placeholder-repo contains no test suite,NORMAL,ABSENCE,OBSERVATION,no,only self-described sources (e.g. README) back this claim; a README statement is not independent corroboration,,,
