claim_id,claim,impact,kind,epistemics,supported,reason,evidence_origins,evidence_urls,conflicts
aakash-gupta-cups-task-no-tests,aakashg/cups-task contains no test suite,NORMAL,ABSENCE,OBSERVATION,no,absence claim whose search coverage is recorded as incomplete,api_listing;commit_history;file_listing;readme,https://github.com/aakashg/cups-task;https://github.com/aakashg/cups-task/commits;https://github.com/aakashg/cups-task/tree/main;https://github.com/aakashg/cups-task/#readme,
aakash-gupta-cursor-layer-pm-toolkit-classification,aakashg/cursor-layer-pm-toolkit: primary classification INSUFFICIENT_EVIDENCE (no classification criteria met with sufficient evidence),NORMAL,PRESENCE,INFERENCE,yes,meets independence rules,api_listing;commit_history;file_listing;readme,https://github.com/aakashg/cursor-layer-pm-toolkit;https://github.com/aakashg/cursor-layer-pm-toolkit/commits;https://github.com/aakashg/cursor-layer-pm-toolkit/tree/main;https://github.com/aakashg/cursor-layer-pm-toolkit/#readme,
aakash-gupta-cursor-layer-pm-toolkit-no-tests,aakashg/cursor-layer-pm-toolkit contains no test suite,NORMAL,ABSENCE,OBSERVATION,no,absence claim whose search coverage is recorded as incomplete,api_listing;commit_history;file_listing;readme,https://github.com/aakashg/cursor-layer-pm-toolkit;https://github.com/aakashg/cursor-layer-pm-toolkit/commits;https://github.com/aakashg/cursor-layer-pm-toolkit/tree/main;https://github.com/aakashg/cursor-layer-pm-toolkit/#readme,
aakash-gupta-hermes-pm-toolkit-classification,aakashg/hermes-pm-toolkit: primary classification INSUFFICIENT_EVIDENCE (no classification criteria met with sufficient evidence),NORMAL,PRESENCE,INFERENCE,yes,meets independence rules,api_listing;commit_history;file_listing;readme,https://github.com/aakashg/hermes-pm-toolkit;https://github.com/aakashg/hermes-pm-toolkit/commits;https://github.com/aakashg/hermes-pm-toolkit/tree/main;https://github.com/aakashg/hermes-pm-toolkit/#readme,
aakash-gupta-hermes-pm-toolkit-no-tests,aakashg/hermes-pm-toolkit contains no test suite,NORMAL,ABSENCE,OBSERVATION,no,absence claim whose search coverage is recorded as incomplete,api_listing;commit_history;file_listing;readme,https://github.com/aakashg/hermes-pm-toolkit;https://github.com/aakashg/hermes-pm-toolkit/commits;https://github.com/aakashg/hermes-pm-toolkit/tree/main;https://github.com/aakashg/hermes-pm-toolkit/#readme,
aakash-gupta-pm-claude-code-setup-classification,aakashg/pm-claude-code-setup: primary classification EDUCATIONAL_OR_CURATED_VALUE (highest-priority label meeting its criteria: EDUCATIONAL_OR_CURATED_VALUE),NORMAL,PRESENCE,INFERENCE,yes,meets independence rules,api_listing;commit_history;file_listing;readme,https://github.com/aakashg/pm-claude-code-setup;https://github.com/aakashg/pm-claude-code-setup/commits;https://github.com/aakashg/pm-claude-code-setup/tree/main;https://github.com/aakashg/pm-claude-code-setup#readme,"Commit author dates run to 2026-08-03, after both the repo's pushed_at (2026-03-04T23:12:39Z) and the audit date (2026-07-16) — history has been re-dated to simulate an ongoing release cadence.;Batch-synchronized commits across sibling repos: 'Add MIT LICENSE and badges to README' at 22:10:25 and 'Reframe free vs paid messaging' at 00:25:52 land within seconds of identical messages in pm-claude-skills and pm-prompt-library."
aakash-gupta-pm-claude-code-setup-no-tests,aakashg/pm-claude-code-setup contains no test suite,NORMAL,ABSENCE,OBSERVATION,no,absence claim whose search coverage is recorded as incomplete,api_listing;commit_history;file_listing;readme,https://github.com/aakashg/pm-claude-code-setup;https://github.com/aakashg/pm-claude-code-setup/commits;https://github.com/aakashg/pm-claude-code-setup/tree/main;https://github.com/aakashg/pm-claude-code-setup#readme,
aakash-gupta-pm-claude-skills-classification,aakashg/pm-claude-skills: primary classification EDUCATIONAL_OR_CURATED_VALUE (highest-priority label meeting its criteria: EDUCATIONAL_OR_CURATED_VALUE),NORMAL,PRESENCE,INFERENCE,yes,meets independence rules,api_listing;commit_history;file_listing;readme,https://github.com/aakashg/pm-claude-skills;https://github.com/aakashg/pm-claude-skills/commits;https://github.com/aakashg/pm-claude-skills/tree/main;https://github.com/aakashg/pm-claude-skills#readme,"Parent-chain order vs author dates is incoherent: 16 skill-add commits dated 2026-03-10..2026-09-12 (some in the future) are ancestors of the 'Remove 15 extra skills' commit dated 2026-03-03, and pushed_at is 2026-03-04 — history was re-dated.;Same-second batch commits across siblings: 'Polish all skills and README for professional tone' 2026-03-04T23:04:13Z here vs 23:04:15/23:04:17 in pm-claude-code-setup and pm-prompt-library."
aakash-gupta-pm-claude-skills-no-tests,aakashg/pm-claude-skills contains no test suite,NORMAL,ABSENCE,OBSERVATION,no,absence claim whose search coverage is recorded as incomplete,api_listing;commit_history;file_listing;readme,https://github.com/aakashg/pm-claude-skills;https://github.com/aakashg/pm-claude-skills/commits;https://github.com/aakashg/pm-claude-skills/tree/main;https://github.com/aakashg/pm-claude-skills#readme,
aakash-gupta-pm-github-starter-kit-classification,aakashg/pm-github-starter-kit: primary classification INSUFFICIENT_EVIDENCE (no classification criteria met with sufficient evidence),NORMAL,PRESENCE,INFERENCE,yes,meets independence rules,api_listing;commit_history;file_listing;readme,https://github.com/aakashg/pm-github-starter-kit;https://github.com/aakashg/pm-github-starter-kit/commits;https://github.com/aakashg/pm-github-starter-kit/tree/main;https://github.com/aakashg/pm-github-starter-kit#readme,README's License section says 'For personal use by Product Growth subscribers only. Do not redistribute or share publicly' while the repo is public with 84 forks and the API metadata records no license.
aakash-gupta-pm-github-starter-kit-no-tests,aakashg/pm-github-starter-kit contains no test suite,NORMAL,ABSENCE,OBSERVATION,no,absence claim whose search coverage is recorded as incomplete,api_listing;commit_history;file_listing;readme,https://github.com/aakashg/pm-github-starter-kit;https://github.com/aakashg/pm-github-starter-kit/commits;https://github.com/aakashg/pm-github-starter-kit/tree/main;https://github.com/aakashg/pm-github-starter-kit#readme,
aakash-gupta-pm-github-workflow-repo-classification,aakashg/pm-github-workflow-repo: primary classification EDUCATIONAL_OR_CURATED_VALUE (highest-priority label meeting its criteria: EDUCATIONAL_OR_CURATED_VALUE),NORMAL,PRESENCE,INFERENCE,yes,meets independence rules,api_listing;ci_config;commit_history;file_listing;readme,https://github.com/aakashg/pm-github-workflow-repo;https://github.com/aakashg/pm-github-workflow-repo/commits;https://github.com/aakashg/pm-github-workflow-repo/tree/main;https://github.com/aakashg/pm-github-workflow-repo/.github/workflows;https://github.com/aakashg/pm-github-workflow-repo#readme,"Commit author dates begin 2026-01-06, five months before the repo's created_at (2026-06-03); the repo discloses this via the commit 'align content dates with commit dates after history re-date' — a deliberate, disclosed simulation for teaching, not hidden fabrication."
aakash-gupta-pm-github-workflow-repo-no-tests,aakashg/pm-github-workflow-repo contains no test suite,NORMAL,ABSENCE,OBSERVATION,no,absence claim whose search coverage is recorded as incomplete,api_listing;ci_config;commit_history;file_listing;readme,https://github.com/aakashg/pm-github-workflow-repo;https://github.com/aakashg/pm-github-workflow-repo/commits;https://github.com/aakashg/pm-github-workflow-repo/tree/main;https://github.com/aakashg/pm-github-workflow-repo/.github/workflows;https://github.com/aakashg/pm-github-workflow-repo#readme,
aakash-gupta-pm-planning-system-classification,aakashg/pm-planning-system: primary classification EDUCATIONAL_OR_CURATED_VALUE (highest-priority label meeting its criteria: EDUCATIONAL_OR_CURATED_VALUE),NORMAL,PRESENCE,INFERENCE,yes,meets independence rules,api_listing;commit_history;file_listing;readme,https://github.com/aakashg/pm-planning-system;https://github.com/aakashg/pm-planning-system/commits;https://github.com/aakashg/pm-planning-system/tree/main;https://github.com/aakashg/pm-planning-system#readme,"README 'What's Inside' tree omits src/, package.json, and vitest.config.ts that appear in the root listing (undocumented demo-module scaffolding).;Portfolio survey records has_tests=false, but the root listing contains vitest.config.ts and a commit claims 'pricing page demo module with vitest coverage'.;README says 'License: MIT' but the API metadata records no license file detected."
aakash-gupta-pm-planning-system-no-tests,aakashg/pm-planning-system contains no test suite,NORMAL,ABSENCE,OBSERVATION,no,absence claim whose search coverage is recorded as incomplete,api_listing;commit_history;file_listing;readme,https://github.com/aakashg/pm-planning-system;https://github.com/aakashg/pm-planning-system/commits;https://github.com/aakashg/pm-planning-system/tree/main;https://github.com/aakashg/pm-planning-system#readme,
aakash-gupta-pm-prompt-library-classification,aakashg/pm-prompt-library: primary classification INSUFFICIENT_EVIDENCE (no classification criteria met with sufficient evidence),NORMAL,PRESENCE,INFERENCE,yes,meets independence rules,api_listing;commit_history;file_listing;readme,https://github.com/aakashg/pm-prompt-library;https://github.com/aakashg/pm-prompt-library/commits;https://github.com/aakashg/pm-prompt-library/tree/main;https://github.com/aakashg/pm-prompt-library#readme,"Commit author dates run to 2026-09-07, after both pushed_at (2026-04-10T18:46:46Z) and the audit date (2026-07-16) — re-dated history simulating weekly releases.;'Each prompt tested across 50+ real PM scenarios' has no supporting artifact anywhere in the listing or history.;Batch-synchronized housekeeping with siblings: 'Add MIT LICENSE and badges to README' 2026-03-03T22:10:27Z and 'Polish all prompts and README for professional tone' 2026-03-04T23:04:17Z land within seconds of identical commits in pm-claude-code-setup and pm-claude-skills."
aakash-gupta-pm-prompt-library-no-tests,aakashg/pm-prompt-library contains no test suite,NORMAL,ABSENCE,OBSERVATION,no,absence claim whose search coverage is recorded as incomplete,api_listing;commit_history;file_listing;readme,https://github.com/aakashg/pm-prompt-library;https://github.com/aakashg/pm-prompt-library/commits;https://github.com/aakashg/pm-prompt-library/tree/main;https://github.com/aakashg/pm-prompt-library#readme,
aakash-gupta-product-growth-team-os-classification,aakashg/product-growth-team-os: primary classification EDUCATIONAL_OR_CURATED_VALUE (highest-priority label meeting its criteria: EDUCATIONAL_OR_CURATED_VALUE),NORMAL,PRESENCE,INFERENCE,yes,meets independence rules,api_listing;commit_history;file_listing;readme,https://github.com/aakashg/product-growth-team-os;https://github.com/aakashg/product-growth-team-os/commits;https://github.com/aakashg/product-growth-team-os/tree/main;https://github.com/aakashg/product-growth-team-os#readme,"Portfolio survey records has_ci=true, but no workflows-listing.json was saved and the README's .github tree shows only pull_request_template.md — CI presence is unconfirmed in the snapshot.;The two registry files (feature-index.yaml, data-catalog.yaml) are claimed as the system's core but appear only in the README tree; the saved root listing cannot see into product-development/ to confirm them."
aakash-gupta-product-growth-team-os-no-tests,aakashg/product-growth-team-os contains no test suite,NORMAL,ABSENCE,OBSERVATION,no,absence claim whose search coverage is recorded as incomplete,api_listing;commit_history;file_listing;readme,https://github.com/aakashg/product-growth-team-os;https://github.com/aakashg/product-growth-team-os/commits;https://github.com/aakashg/product-growth-team-os/tree/main;https://github.com/aakashg/product-growth-team-os#readme,
aakash-gupta-person-verdict,Aakash Gupta: portfolio verdict DISTRIBUTION_OR_CURATION_DOMINANT,HIGH,PRESENCE,INFERENCE,yes,meets independence rules,api_listing;ci_config;commit_history;file_listing;readme,https://github.com/aakashg/aakashg;https://github.com/aakashg/aakashg/commits;https://github.com/aakashg/aakashg/tree/main;https://github.com/aakashg/aakashg#readme;https://github.com/aakashg/pm-github-workflow-repo/.github/workflows,
shubham-saboo-identity,GitHub login 'Shubhamsaboo' is the public profile of Shubham Saboo (3 attributes matched),NORMAL,PRESENCE,OBSERVATION,yes,meets independence rules,external_site;github_profile;social_media,https://github.com/Shubhamsaboo;https://www.threads.com/@saboo_shubham_/post/DNmbKh3OdPv;https://raw.githubusercontent.com/Shubhamsaboo/awesome-llm-apps/main/README.md,
shubham-saboo-ai-breakup-recovery-agent-classification,Shubhamsaboo/ai-breakup-recovery-agent: primary classification INSUFFICIENT_EVIDENCE (no classification criteria met with sufficient evidence),NORMAL,PRESENCE,INFERENCE,yes,meets independence rules,api_listing;commit_history;file_listing;readme,https://github.com/Shubhamsaboo/ai-breakup-recovery-agent;https://github.com/Shubhamsaboo/ai-breakup-recovery-agent/commits;https://github.com/Shubhamsaboo/ai-breakup-recovery-agent/tree/main;https://github.com/Shubhamsaboo/ai-breakup-recovery-agent#readme,README clone command points at 'break-up-recovery-squad-ai' but the repo is 'ai-breakup-recovery-agent'; setup as written does not clone this repo.;README install steps reference a 'frontend' directory; root listing shows 'client' instead.;README states the app 'uses Gemini 2.0 Flash' while bot commits alternate between 'Integrate OpenAI GPT-4o API calls' and 'Integrate Gemini API calls'; final model wiring is not observable from the snapshot.
shubham-saboo-ai-breakup-recovery-agent-no-tests,Shubhamsaboo/ai-breakup-recovery-agent contains no test suite,NORMAL,ABSENCE,OBSERVATION,no,absence claim whose search coverage is recorded as incomplete,api_listing;commit_history;file_listing;readme,https://github.com/Shubhamsaboo/ai-breakup-recovery-agent;https://github.com/Shubhamsaboo/ai-breakup-recovery-agent/commits;https://github.com/Shubhamsaboo/ai-breakup-recovery-agent/tree/main;https://github.com/Shubhamsaboo/ai-breakup-recovery-agent#readme,
shubham-saboo-ai-linkedin-post-scanner-classification,Shubhamsaboo/ai-linkedin-post-scanner: primary classification LIKELY_SHALLOW_OR_TEMPLATED (ai_slop_risk 81 >= 70 with confidence 75 >= 70; counter-evidence reviewed and recorded),HIGH,PRESENCE,INFERENCE,yes,meets independence rules,api_listing;commit_history;file_listing;readme,https://github.com/Shubhamsaboo/ai-linkedin-post-scanner;https://github.com/Shubhamsaboo/ai-linkedin-post-scanner/commits;https://github.com/Shubhamsaboo/ai-linkedin-post-scanner/tree/main;https://github.com/Shubhamsaboo/ai-linkedin-post-scanner#readme,
shubham-saboo-ai-linkedin-post-scanner-no-tests,Shubhamsaboo/ai-linkedin-post-scanner contains no test suite,NORMAL,ABSENCE,OBSERVATION,no,absence claim whose search coverage is recorded as incomplete,api_listing;commit_history;file_listing;readme,https://github.com/Shubhamsaboo/ai-linkedin-post-scanner;https://github.com/Shubhamsaboo/ai-linkedin-post-scanner/commits;https://github.com/Shubhamsaboo/ai-linkedin-post-scanner/tree/main;https://github.com/Shubhamsaboo/ai-linkedin-post-scanner#readme,
shubham-saboo-awesome-ai-agent-prompts-classification,Shubhamsaboo/awesome-ai-agent-prompts: primary classification INSUFFICIENT_EVIDENCE (no classification criteria met with sufficient evidence),NORMAL,PRESENCE,INFERENCE,yes,meets independence rules,api_listing;commit_history;file_listing,https://github.com/Shubhamsaboo/awesome-ai-agent-prompts;https://github.com/Shubhamsaboo/awesome-ai-agent-prompts/commits;https://github.com/Shubhamsaboo/awesome-ai-agent-prompts/tree/main,The repo name promises a prompt collection ('awesome-ai-agent-prompts') but the file listing shows only a LICENSE; the name and contents disagree.
shubham-saboo-awesome-ai-agent-prompts-no-tests,Shubhamsaboo/awesome-ai-agent-prompts contains no test suite,NORMAL,ABSENCE,OBSERVATION,no,absence claim whose search coverage is recorded as incomplete,api_listing;commit_history;file_listing,https://github.com/Shubhamsaboo/awesome-ai-agent-prompts;https://github.com/Shubhamsaboo/awesome-ai-agent-prompts/commits;https://github.com/Shubhamsaboo/awesome-ai-agent-prompts/tree/main,
shubham-saboo-awesome-llm-apps-classification,Shubhamsaboo/awesome-llm-apps: primary classification DISTRIBUTION_LED_ASSET (highest-priority label meeting its criteria: DISTRIBUTION_LED_ASSET),NORMAL,PRESENCE,INFERENCE,yes,meets independence rules,api_listing;ci_config;commit_history;file_listing;readme,https://github.com/Shubhamsaboo/awesome-llm-apps;https://github.com/Shubhamsaboo/awesome-llm-apps/commits;https://github.com/Shubhamsaboo/awesome-llm-apps/tree/main;https://github.com/Shubhamsaboo/awesome-llm-apps/.github/workflows;https://github.com/Shubhamsaboo/awesome-llm-apps#readme,"README claims apps are 'tested end-to-end' but snapshot metadata records has_tests=false and test_files=0 at repo scope; testing appears to run through the skills CI gate (skill-evals.yml) and per-app self-runs rather than a repo-wide test suite.;Two catalog entries are external repos by other authors (Openwork, Voice Dictation Agent, both marked '↗ external'), so '100+' includes a small number of items not hosted in this repo."
shubham-saboo-awesome-llm-apps-no-tests,Shubhamsaboo/awesome-llm-apps contains no test suite,NORMAL,ABSENCE,OBSERVATION,no,absence claim whose search coverage is recorded as incomplete,api_listing;ci_config;commit_history;file_listing;readme,https://github.com/Shubhamsaboo/awesome-llm-apps;https://github.com/Shubhamsaboo/awesome-llm-apps/commits;https://github.com/Shubhamsaboo/awesome-llm-apps/tree/main;https://github.com/Shubhamsaboo/awesome-llm-apps/.github/workflows;https://github.com/Shubhamsaboo/awesome-llm-apps#readme,
shubham-saboo-BERT_Sentiment_Analysis-classification,Shubhamsaboo/BERT_Sentiment_Analysis: primary classification LIKELY_SHALLOW_OR_TEMPLATED (ai_slop_risk 73 >= 70 with confidence 75 >= 70; counter-evidence reviewed and recorded),HIGH,PRESENCE,INFERENCE,yes,meets independence rules,api_listing;commit_history;file_listing;readme,https://github.com/Shubhamsaboo/BERT_Sentiment_Analysis;https://github.com/Shubhamsaboo/BERT_Sentiment_Analysis/commits;https://github.com/Shubhamsaboo/BERT_Sentiment_Analysis/tree/master;https://github.com/Shubhamsaboo/BERT_Sentiment_Analysis#readme,
shubham-saboo-BERT_Sentiment_Analysis-no-tests,Shubhamsaboo/BERT_Sentiment_Analysis contains no test suite,NORMAL,ABSENCE,OBSERVATION,no,absence claim whose search coverage is recorded as incomplete,api_listing;commit_history;file_listing;readme,https://github.com/Shubhamsaboo/BERT_Sentiment_Analysis;https://github.com/Shubhamsaboo/BERT_Sentiment_Analysis/commits;https://github.com/Shubhamsaboo/BERT_Sentiment_Analysis/tree/master;https://github.com/Shubhamsaboo/BERT_Sentiment_Analysis#readme,
shubham-saboo-chatgpt-discord-classification,Shubhamsaboo/chatgpt-discord: primary classification LIKELY_SHALLOW_OR_TEMPLATED (ai_slop_risk 73 >= 70 with confidence 79 >= 70; counter-evidence reviewed and recorded),HIGH,PRESENCE,INFERENCE,yes,meets independence rules,api_listing;commit_history;file_listing;readme,https://github.com/Shubhamsaboo/chatgpt-discord;https://github.com/Shubhamsaboo/chatgpt-discord/commits;https://github.com/Shubhamsaboo/chatgpt-discord/tree/main;https://github.com/Shubhamsaboo/chatgpt-discord#readme,"README advertises a 13-section step-by-step guide via its Table of Contents, but the 1.4KB README contains none of those sections — only the three usage steps exist."
shubham-saboo-chatgpt-discord-no-tests,Shubhamsaboo/chatgpt-discord contains no test suite,NORMAL,ABSENCE,OBSERVATION,no,absence claim whose search coverage is recorded as incomplete,api_listing;commit_history;file_listing;readme,https://github.com/Shubhamsaboo/chatgpt-discord;https://github.com/Shubhamsaboo/chatgpt-discord/commits;https://github.com/Shubhamsaboo/chatgpt-discord/tree/main;https://github.com/Shubhamsaboo/chatgpt-discord#readme,
shubham-saboo-customer-center-analytics-nlp-classification,Shubhamsaboo/customer-center-analytics-nlp: primary classification LIKELY_SHALLOW_OR_TEMPLATED (ai_slop_risk 80 >= 70 with confidence 75 >= 70; counter-evidence reviewed and recorded),HIGH,PRESENCE,INFERENCE,yes,meets independence rules,api_listing;commit_history;file_listing;readme,https://github.com/Shubhamsaboo/customer-center-analytics-nlp;https://github.com/Shubhamsaboo/customer-center-analytics-nlp/commits;https://github.com/Shubhamsaboo/customer-center-analytics-nlp/tree/main;https://github.com/Shubhamsaboo/customer-center-analytics-nlp#readme,"README hook says 'just 15 lines of Python code' while the shipped app.py is 5704 bytes; the teaser refers to the article's core snippet, not the full app."
shubham-saboo-customer-center-analytics-nlp-no-tests,Shubhamsaboo/customer-center-analytics-nlp contains no test suite,NORMAL,ABSENCE,OBSERVATION,no,absence claim whose search coverage is recorded as incomplete,api_listing;commit_history;file_listing;readme,https://github.com/Shubhamsaboo/customer-center-analytics-nlp;https://github.com/Shubhamsaboo/customer-center-analytics-nlp/commits;https://github.com/Shubhamsaboo/customer-center-analytics-nlp/tree/main;https://github.com/Shubhamsaboo/customer-center-analytics-nlp#readme,
shubham-saboo-docarray-nocode-classification,Shubhamsaboo/docarray-nocode: primary classification INSUFFICIENT_EVIDENCE (no classification criteria met with sufficient evidence),NORMAL,PRESENCE,INFERENCE,yes,meets independence rules,api_listing;commit_history;file_listing;readme,https://github.com/Shubhamsaboo/docarray-nocode;https://github.com/Shubhamsaboo/docarray-nocode/commits;https://github.com/Shubhamsaboo/docarray-nocode/tree/main;https://github.com/Shubhamsaboo/docarray-nocode#readme,
shubham-saboo-docarray-nocode-no-tests,Shubhamsaboo/docarray-nocode contains no test suite,NORMAL,ABSENCE,OBSERVATION,no,absence claim whose search coverage is recorded as incomplete,api_listing;commit_history;file_listing;readme,https://github.com/Shubhamsaboo/docarray-nocode;https://github.com/Shubhamsaboo/docarray-nocode/commits;https://github.com/Shubhamsaboo/docarray-nocode/tree/main;https://github.com/Shubhamsaboo/docarray-nocode#readme,
shubham-saboo-gemini-artboard-classification,Shubhamsaboo/gemini-artboard: primary classification EDUCATIONAL_OR_CURATED_VALUE (highest-priority label meeting its criteria: EDUCATIONAL_OR_CURATED_VALUE),NORMAL,PRESENCE,INFERENCE,yes,meets independence rules,api_listing;commit_history;file_listing;readme,https://github.com/Shubhamsaboo/gemini-artboard;https://github.com/Shubhamsaboo/gemini-artboard/commits;https://github.com/Shubhamsaboo/gemini-artboard/tree/main;https://github.com/Shubhamsaboo/gemini-artboard#readme,
shubham-saboo-gemini-artboard-no-tests,Shubhamsaboo/gemini-artboard contains no test suite,NORMAL,ABSENCE,OBSERVATION,no,absence claim whose search coverage is recorded as incomplete,api_listing;commit_history;file_listing;readme,https://github.com/Shubhamsaboo/gemini-artboard;https://github.com/Shubhamsaboo/gemini-artboard/commits;https://github.com/Shubhamsaboo/gemini-artboard/tree/main;https://github.com/Shubhamsaboo/gemini-artboard#readme,
shubham-saboo-gpt3-text-generation-classification,Shubhamsaboo/gpt3-text-generation: primary classification INSUFFICIENT_EVIDENCE (no classification criteria met with sufficient evidence),NORMAL,PRESENCE,INFERENCE,yes,meets independence rules,api_listing;ci_config;commit_history;file_listing;readme,https://github.com/Shubhamsaboo/gpt3-text-generation;https://github.com/Shubhamsaboo/gpt3-text-generation/commits;https://github.com/Shubhamsaboo/gpt3-text-generation/tree/main;https://github.com/Shubhamsaboo/gpt3-text-generation/.github/workflows;https://github.com/Shubhamsaboo/gpt3-text-generation#readme,
shubham-saboo-gpt3_book_sandbox-classification,Shubhamsaboo/gpt3_book_sandbox: primary classification INSUFFICIENT_EVIDENCE (no classification criteria met with sufficient evidence),NORMAL,PRESENCE,INFERENCE,yes,meets independence rules,api_listing;commit_history;file_listing;readme,https://github.com/Shubhamsaboo/gpt3_book_sandbox;https://github.com/Shubhamsaboo/gpt3_book_sandbox/commits;https://github.com/Shubhamsaboo/gpt3_book_sandbox/tree/master;https://github.com/Shubhamsaboo/gpt3_book_sandbox#readme,"README clone command and all deep links point at 'Shubhamsaboo/kairos_gpt3' while the snapshot repo is 'gpt3_book_sandbox' — a rename artifact; the documented clone target name no longer matches the repo.;requirements.txt is referenced by the setup steps but sits inside a subdirectory; no deps file exists at the root listing, so the deps_valid condition (root deps file) is not met and the key is omitted."
